"marital","sibs","childs","age","educ","sex","rincome","relig","relig16","year","id"
1,1,3,40,18,2,25000,4,NA,2021,418
1,2,0,28,17,2,25000,4,NA,2021,419
5,3,0,36,18,1,25000,1,NA,2021,420
1,1,1,37,18,1,25000,1,NA,2021,422
3,3,6,61,10,2,NA,4,NA,2021,423
1,3,3,52,19,2,25000,1,NA,2021,424
3,2,2,65,16,1,NA,1,NA,2021,425
2,0,2,65,14,2,NA,1,NA,2021,427
5,1,0,61,18,1,NA,1,NA,2021,428
1,3,2,NA,12,NA,NA,NA,NA,2021,430
1,4,0,49,12,2,25000,5,NA,2021,431
5,4,0,22,13,1,12500,4,NA,2021,432
3,7,0,50,18,1,25000,1,NA,2021,433
2,3,4,89,18,1,NA,2,NA,2021,434
3,2,1,56,12,1,NA,1,NA,2021,435
5,2,0,NA,14,1,25000,4,NA,2021,436
5,NA,1,45,12,1,25000,4,NA,2021,437
1,8,4,37,0,2,NA,2,NA,2021,438
1,1,0,68,15,2,NA,2,NA,2021,439
5,0,0,18,11,1,NA,1,NA,2021,440
1,2,0,42,12,1,25000,4,NA,2021,441
3,5,0,37,19,2,25000,5,NA,2021,443
3,2,1,44,12,1,NA,4,NA,2021,444
1,7,5,63,20,1,NA,2,NA,2021,445
5,0,0,29,17,1,25000,1,NA,2021,446
1,1,3,37,16,2,25000,2,NA,2021,447
3,3,2,66,16,2,NA,1,NA,2021,448
1,4,5,52,17,1,25000,1,NA,2021,449
1,4,3,55,15,2,25000,2,NA,2021,450
1,1,0,44,16,2,25000,4,NA,2021,451
1,2,3,64,12,2,NA,2,NA,2021,452
3,3,2,59,18,1,25000,1,NA,2021,453
1,2,3,53,14,2,25000,4,NA,2021,454
5,3,0,30,11,1,NA,4,NA,2021,455
3,1,0,48,19,1,25000,4,NA,2021,456
3,4,0,50,18,1,25000,4,NA,2021,457
3,1,2,61,18,1,25000,4,NA,2021,458
3,9,0,53,20,1,25000,1,NA,2021,459
3,4,0,61,16,1,NA,1,NA,2021,460
5,1,0,30,17,2,4500,3,NA,2021,461
5,1,0,NA,20,1,25000,2,NA,2021,462
1,NA,5,62,14,2,NA,2,NA,2021,463
1,7,4,44,14,2,25000,1,NA,2021,464
1,5,3,60,16,1,25000,1,NA,2021,465
1,4,3,66,12,1,NA,2,NA,2021,466
5,6,1,NA,NA,NA,NA,NA,NA,2021,467
3,2,2,69,17,1,25000,1,NA,2021,468
1,1,1,47,20,1,25000,1,NA,2021,469
1,2,2,62,11,2,NA,1,NA,2021,470
2,1,2,80,12,2,NA,2,NA,2021,472
1,4,7,47,16,1,25000,4,NA,2021,473
5,5,3,37,16,1,25000,1,NA,2021,474
3,12,2,54,14,2,25000,2,NA,2021,475
5,1,1,47,14,2,NA,2,NA,2021,476
3,7,2,59,10,1,NA,4,NA,2021,477
1,3,2,57,12,1,25000,2,NA,2021,478
5,4,3,NA,13,2,25000,1,NA,2021,480
3,2,2,33,12,2,25000,4,NA,2021,481
3,35,2,41,15,1,1000,1,NA,2021,482
2,5,2,NA,12,2,NA,2,NA,2021,483
1,1,0,58,18,2,25000,2,NA,2021,484
5,3,0,27,17,1,12500,4,NA,2021,485
1,11,3,57,15,2,NA,4,NA,2021,486
3,7,2,49,6,2,9000,6,NA,2021,487
5,2,0,46,12,2,25000,4,NA,2021,488
2,6,6,81,14,2,NA,2,NA,2021,490
5,1,0,35,16,2,25000,1,NA,2021,491
5,11,3,28,8,2,NA,1,NA,2021,492
1,3,4,70,14,1,25000,1,NA,2021,493
1,3,2,57,14,1,25000,1,NA,2021,494
5,1,0,44,12,2,NA,4,NA,2021,495
1,1,2,NA,15,1,NA,4,NA,2021,496
5,2,0,35,16,1,25000,4,NA,2021,497
1,3,0,41,16,2,25000,3,NA,2021,498
5,5,2,42,15,1,25000,2,NA,2021,499
4,2,1,41,NA,2,25000,4,NA,2021,500
5,4,0,47,18,1,25000,4,NA,2021,501
5,8,0,34,14,2,17500,4,NA,2021,502
1,4,3,43,12,2,25000,1,NA,2021,503
4,1,2,72,15,2,NA,2,NA,2021,504
1,1,3,46,20,2,25000,2,NA,2021,505
1,2,1,NA,10,1,25000,2,NA,2021,506
3,2,2,59,12,1,NA,1,NA,2021,507
1,1,1,67,15,2,25000,4,NA,2021,508
1,11,2,32,8,1,25000,1,NA,2021,509
5,1,0,29,17,2,25000,1,NA,2021,510
1,6,3,71,15,2,NA,4,NA,2021,511
5,5,0,64,14,1,25000,1,NA,2021,512
2,0,0,73,14,1,NA,1,NA,2021,513
1,5,2,NA,17,2,NA,NA,NA,2021,514
2,3,3,77,16,2,NA,1,NA,2021,515
2,5,3,70,16,2,NA,1,NA,2021,516
1,1,3,72,15,2,NA,4,NA,2021,517
1,1,3,NA,18,1,NA,4,NA,2021,518
1,5,2,67,14,1,1000,1,NA,2021,520
1,5,0,36,10,1,NA,1,NA,2021,523
2,3,2,NA,12,1,25000,4,NA,2021,524
2,1,1,67,12,2,NA,1,NA,2021,525
1,2,1,41,14,2,25000,1,NA,2021,526
1,2,2,51,19,1,13,4,NA,2021,527
1,1,2,34,18,1,NA,4,NA,2021,528
5,1,0,22,16,2,12500,4,NA,2021,529
5,1,0,21,14,1,NA,1,NA,2021,530
1,3,3,64,17,2,25000,1,NA,2021,531
1,1,2,49,18,2,25000,1,NA,2021,532
3,2,0,67,18,1,NA,4,NA,2021,533
5,2,2,33,17,2,9000,1,NA,2021,534
1,0,1,31,17,2,NA,11,NA,2021,535
1,4,2,74,12,2,NA,1,NA,2021,536
1,6,4,33,15,2,NA,2,NA,2021,537
5,3,2,40,12,1,12500,4,NA,2021,538
3,3,2,62,12,2,22500,1,NA,2021,539
5,1,0,51,12,1,25000,1,NA,2021,540
3,5,2,53,16,2,25000,1,NA,2021,541
1,3,1,33,14,2,NA,1,NA,2021,542
1,5,2,51,14,1,NA,1,NA,2021,543
5,2,0,53,12,2,25000,4,NA,2021,544
5,3,1,46,14,1,12500,1,NA,2021,545
1,1,3,72,18,1,NA,2,NA,2021,546
1,1,0,63,18,1,NA,2,NA,2021,547
3,2,2,70,14,2,7500,3,NA,2021,548
1,4,3,71,11,2,12500,1,NA,2021,549
1,3,3,46,12,1,25000,1,NA,2021,550
1,2,2,36,16,2,25000,4,NA,2021,551
3,4,2,72,14,1,NA,1,NA,2021,552
2,1,2,42,16,2,25000,4,NA,2021,553
1,2,1,76,19,1,NA,4,NA,2021,554
1,5,2,69,16,2,NA,1,NA,2021,555
5,0,0,44,16,1,25000,4,NA,2021,556
1,1,3,43,20,2,25000,1,NA,2021,557
5,4,2,39,13,2,22500,11,NA,2021,558
1,6,2,75,18,1,25000,2,NA,2021,559
2,8,5,89,12,2,NA,2,NA,2021,560
5,2,0,28,17,1,25000,1,NA,2021,561
5,10,0,21,12,2,NA,4,NA,2021,562
3,4,0,56,15,2,25000,1,NA,2021,563
3,4,0,56,15,2,17500,1,NA,2021,564
4,2,2,37,14,1,25000,4,NA,2021,565
1,4,0,34,12,2,25000,4,NA,2021,566
3,5,4,37,14,2,25000,4,NA,2021,567
1,2,3,49,16,1,25000,1,NA,2021,568
1,2,0,81,16,1,NA,2,NA,2021,569
1,2,0,70,16,2,22500,4,NA,2021,571
3,3,4,78,12,2,NA,1,NA,2021,572
1,1,2,74,12,2,NA,1,NA,2021,573
5,3,3,23,12,2,7500,4,NA,2021,574
1,1,1,76,16,2,7500,1,NA,2021,575
2,3,2,79,14,1,NA,2,NA,2021,576
3,8,2,66,13,2,25000,2,NA,2021,577
5,2,3,NA,16,2,2000,4,NA,2021,581
5,1,0,22,15,2,5500,4,NA,2021,582
4,3,0,54,12,1,3500,11,NA,2021,583
1,3,2,54,14,2,25000,1,NA,2021,584
4,4,3,39,12,2,9000,1,NA,2021,585
1,2,2,38,16,1,25000,2,NA,2021,586
1,2,3,42,20,2,25000,1,NA,2021,587
5,2,1,43,17,2,NA,1,NA,2021,588
